ID,protocol name,protocol number,protocol date, periodicity,ATTENTION,ID2,ALARM,ID3,team
1010133,Испытания на электромагнитную совместимость,013/2015-02-2-П,04.03.2015,10,2025-02-04,1010133,04.03.2025,1010133,ОЭМ
1010134,Испытания на электромагнитную совместимость,013/2015-03-2-П,04.03.2015,10,2025-02-04,1010134,04.03.2025,1010134,ОЭМ
1010135,Испытания на безопасность,24-04-15,26.04.2015,10,2025-03-26,1010135,26.04.2025,1010135,ОЭМ
1010136,Испытание на коммутационную способность,012-043-2016,07.06.2016,10,2026-05-07,1010136,07.06.2026,1010136,ОЭМ
1010137,Испытание на нагрев,15-04-16,20.04.2016,10,2026-03-20,1010137,20.04.2026,1010137,ОЭМ
1010138,Испытание на нагрев,22-04-16,28.04.2016,10,2026-03-28,1010138,28.04.2026,1010138,ОЭМ
1010139,Испытание на нагрев,24-06-16-01,30.06.2016,10,2026-05-30,1010139,30.06.2026,1010139,ОЭМ
1010140,Испытания на прочность при транспортировании и испытания упаковки,28-04-16,09.04.2016,10,2026-03-09,1010140,09.04.2026,1010140,ОЭМ
1010141,Испытания на сейсмостойкость,82-12-18,12.12.2018,10,2028-11-12,1010141,12.12.2028,1010141,ОЭМ
1010142,Испытания на стойкость к воздействию внешних механических факторов,82-12-18,12.12.2018,10,2028-11-12,1010142,12.12.2028,1010142,ОЭМ
1010143,Электромеханические испытания,07-02-18,12.02.2018,10,2028-01-12,1010143,12.02.2028,1010143,ОЭМ
1010144,Испытание на нагрев,05-02-19-01,10.02.2019,10,2029-01-10,1010144,10.02.2029,1010144,ОЭМ
1010145,Испытания на климатические и механические воздействия,11-02-19,14.03.2019,10,2029-02-14,1010145,14.03.2029,1010145,ОЭМ
1010146,Испытания на сейсмостойкость,82-12-19,28.12.2019,10,2029-11-28,1010146,28.12.2029,1010146,ОЭМ
1010147,Испытания на стойкость к воздействию внешних механических факторов,82-12-19,28.12.2019,10,2029-11-28,1010147,28.12.2029,1010147,ОЭМ
1010148,Испытания на электромагнитную совместимость,Т0541/013-2019,28.01.2019,10,2028-12-28,1010148,28.01.2029,1010148,ОЭМ
1010149,Испытания на электродинамическую и термическую стойкость током КЗ,017-119-2020,12.08.2020,10,2030-07-12,1010149,12.08.2030,1010149,ОЭМ
1010150,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-119-2020,12.08.2020,10,2030-07-12,1010150,12.08.2030,1010150,ОЭМ
1010151,Испытания на электродинамическую и термическую стойкость током КЗ,017-120-2020,14.08.2020,10,2030-07-14,1010151,14.08.2030,1010151,ОЭМ
1010152,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-120-2020,14.08.2020,10,2030-07-14,1010152,14.08.2030,1010152,ОЭМ
1010153,Испытание на нагрев,07-12-10,13.12.2010,10,2020-11-13,1010153,13.12.2020,1010153,ОЭМ
1010154,Испытания на безопасность,24-10-11,28.10.2011,10,2021-09-28,1010154,28.10.2021,1010154,ОЭМ
1010155,Испытание на нагрев,01-11-12,06.11.2012,10,2022-10-06,1010155,06.11.2022,1010155,ОЭМ
1010156,Испытание на коммутационную способность,012-212-2013,24.09.2013,10,2023-08-24,1010156,24.09.2023,1010156,ОЭМ
1010157,Испытание на локализационную способность,012-213-2013,24.09.2013,10,2023-08-24,1010157,24.09.2023,1010157,ОЭМ
1010158,Испытания электрической прочности изоляции,12-08-14-01,29.08.2014,10,2024-07-29,1010158,29.08.2024,1010158,ОЭМ
1010159,Испытание на нагрев,13-08-14,14.08.2014,10,2024-07-14,1010159,14.08.2024,1010159,ОЭМ
1010160,Испытания на электродинамическую и термическую стойкость током КЗ,017-077-2014,15.04.2014,10,2024-03-15,1010160,15.04.2024,1010160,ОЭМ
1010161,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-077-2014,15.04.2014,10,2024-03-15,1010161,15.04.2024,1010161,ОЭМ
1010162,Испытания электрической прочности изоляции,ТИ26-05-15,28.05.2015,10,2025-04-28,1010162,28.05.2025,1010162,ОЭМ
1010163,Испытания электрической прочности изоляции,15-07-16,18.07.2016,10,2026-06-18,1010163,18.07.2026,1010163,ОЭМ
1010164,Испытание на коммутационную способность,012-127-2017,05.09.2017,10,2027-08-05,1010164,05.09.2027,1010164,ОЭМ
1010165,Электромеханические испытания,15-12-17-02,20.12.2017,10,2027-11-20,1010165,20.12.2027,1010165,ОЭМ
1010166,Испытания на электродинамическую и термическую стойкость током КЗ,017-123-2017,22.08.2017,10,2027-07-22,1010166,22.08.2027,1010166,ОЭМ
1010167,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-123-2017,22.08.2017,10,2027-07-22,1010167,22.08.2027,1010167,ОЭМ
1010168,Испытания на безопасность,24-04-18,27.04.2018,10,2028-03-27,1010168,27.04.2028,1010168,ОЭМ
1010169,Испытания на климатические и механические воздействия,26-01-18,02.02.2018,10,2028-01-02,1010169,02.02.2028,1010169,ОЭМ
1010170,Испытания на сейсмостойкость,147/19,06.11.2019,10,2029-10-06,1010170,06.11.2029,1010170,ОЭМ
1010171,Испытания на стойкость к воздействию внешних механических факторов,147/19,06.11.2019,10,2029-10-06,1010171,06.11.2029,1010171,ОЭМ
1010172,Испытания на сейсмостойкость,148/19,06.11.2019,10,2029-10-06,1010172,06.11.2029,1010172,ОЭМ
1010173,Испытания на стойкость к воздействию внешних механических факторов,148/19,06.11.2019,10,2029-10-06,1010173,06.11.2029,1010173,ОЭМ
1010174,Проверка внешнего вида и проверка на соответствие чертежам,15-12-17-01,20.12.2017,10,2027-11-20,1010174,20.12.2027,1010174,ОЭМ
1010175,Испытания электрической прочности изоляции,16-12-17-01,20.12.2017,10,2027-11-20,1010175,20.12.2027,1010175,ОЭМ
1010176,Контрольная сборка и испытание на взаимозаменяемость однотипных выкатных элементов,16-12-17-02,25.12.2017,10,2027-11-25,1010176,25.12.2027,1010176,ОЭМ
1010177,Испытание на нагрев,22-12-17-01,28.12.2017,10,2027-11-28,1010177,28.12.2027,1010177,ОЭМ
1010178,Испытания на климатические и механические воздействия,10-07-18,20.07.2018,10,2028-06-20,1010178,20.07.2028,1010178,ОЭМ
1010179,Испытания на безопасность,11-05-18,09.06.2018,10,2028-05-09,1010179,09.06.2028,1010179,ОЭМ
1010180,Испытание на коммутационную способность,012-020-2018,01.03.2018,10,2028-02-01,1010180,01.03.2028,1010180,ОЭМ
1010181,Испытание на локализационную способность,012-021-2018,01.03.2018,10,2028-02-01,1010181,01.03.2028,1010181,ОЭМ
1010182,Испытания на электродинамическую и термическую стойкость током КЗ,017-019-2018,09.02.2018,10,2028-01-09,1010182,09.02.2028,1010182,ОЭМ
1010183,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-019-2018,09.02.2018,10,2028-01-09,1010183,09.02.2028,1010183,ОЭМ
1010184,Испытания на прочность при транспортировании и испытания упаковки,18-01-18,09.06.2018,10,2028-05-09,1010184,09.06.2028,1010184,ОЭМ
1010185,Испытание на соответствие степени защиты оболочки,20-12-18,07.02.2018,10,2028-01-07,1010185,07.02.2028,1010185,ОЭМ
1010186,Испытание на нагрев,21-12-18,08.02.2018,10,2028-01-08,1010186,08.02.2028,1010186,ОЭМ
1010187,Испытания на сейсмостойкость,24-04-18,17.05.2018,10,2028-04-17,1010187,17.05.2028,1010187,ОЭМ
1010188,Испытания на стойкость к воздействию внешних механических факторов,24-04-18,17.05.2018,10,2028-04-17,1010188,17.05.2028,1010188,ОЭМ
1010189,Электромеханические испытания,27-04-18,03.05.2018,10,2028-04-03,1010189,03.05.2028,1010189,ОЭМ
1010190,Испытание на локализационную способность,012-044-2019,14.03.2019,10,2029-02-14,1010190,14.03.2029,1010190,ОЭМ
1010191,Испытание на коммутационную способность,012-138-2019,17.07.2019,10,2029-06-17,1010191,17.07.2029,1010191,ОЭМ
1010192,Испытания на электродинамическую и термическую стойкость током КЗ,017-149-2019,31.07.2019,10,2029-06-30,1010192,31.07.2029,1010192,ОЭМ
1010193,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-149-2019,31.07.2019,10,2029-06-30,1010193,31.07.2029,1010193,ОЭМ
1010194,Испытания на сейсмостойкость,95/19,19.06.2019,10,2029-05-19,1010194,19.06.2029,1010194,ОЭМ
1010195,Испытания на стойкость к воздействию внешних механических факторов,95/19,19.06.2019,10,2029-05-19,1010195,19.06.2029,1010195,ОЭМ
1010196,Испытания на сейсмостойкость,96/19,19.06.2019,10,2029-05-19,1010196,19.06.2029,1010196,ОЭМ
1010197,Испытания на стойкость к воздействию внешних механических факторов,96/19,19.06.2019,10,2029-05-19,1010197,19.06.2029,1010197,ОЭМ
1010198,Испытание на соответствие степени защиты оболочки,04-05-16,10.05.2016,10,2026-04-10,1010198,10.05.2026,1010198,ОЭМ
1010199,Электромеханические испытания,05-07-10,30.07.2010,10,2020-06-30,1010199,30.07.2020,1010199,ОЭМ
1010200,Испытания на безопасность,06-08-12,07.08.2012,10,2022-07-07,1010200,07.08.2022,1010200,ОЭМ
1010201,Испытание на надежность,07-07-10,30.07.2010,10,2020-06-30,1010201,30.07.2020,1010201,ОЭМ
1010202,Проверка внешнего вида и проверка на соответствие чертежам,09-06-10,30.07.2010,10,2020-06-30,1010202,30.07.2020,1010202,ОЭМ
1010203,Испытание на локализационную способность,012-129-2014,19.06.2014,10,2024-05-19,1010203,19.06.2024,1010203,ОЭМ
1010204,Испытания на включающую способность ЗР,012-227-2013,09.10.2013,10,2023-09-09,1010204,09.10.2023,1010204,ОЭМ
1010205,Испытание на коммутационную способность,012-292-2010,22.12.2010,10,2020-11-22,1010205,22.12.2020,1010205,ОЭМ
1010206,Испытание на локализационную способность,012-300-2010,28.12.2010,10,2020-11-28,1010206,28.12.2020,1010206,ОЭМ
1010207,Испытания на климатические и механические воздействия,15-11-10,20.12.2010,10,2020-11-20,1010207,20.12.2020,1010207,ОЭМ
1010208,Испытания на электродинамическую и термическую стойкость током КЗ,017-293-2010,22.12.2010,10,2020-11-22,1010208,22.12.2020,1010208,ОЭМ
1010209,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-293-2010,22.12.2010,10,2020-11-22,1010209,22.12.2020,1010209,ОЭМ
1010210,Испытание на нагрев,17-06-10,30.07.2010,10,2020-06-30,1010210,30.07.2020,1010210,ОЭМ
1010211,Контрольная сборка и испытание на взаимозаменяемость однотипных выкатных элементов,22-11-10,20.12.2010,10,2020-11-20,1010211,20.12.2020,1010211,ОЭМ
1010212,Испытания электрической прочности изоляции,27-07-10,30.07.2010,10,2020-06-30,1010212,30.07.2020,1010212,ОЭМ
1010213,Испытания на прочность при транспортировании и испытания упаковки,29-11-10,20.12.2010,10,2020-11-20,1010213,20.12.2020,1010213,ОЭМ
1010214,Испытания на сейсмостойкость,05-1-99,02.03.1999,10,2009-02-02,1010214,02.03.2009,1010214,ОЭМ
1010215,Испытания электрической прочности изоляции,15-05-20,25.07.2020,10,2030-06-25,1010215,25.07.2030,1010215,ОЭМ
1010216,Испытания электрической прочности изоляции,19-05-20,28.07.2020,10,2030-06-28,1010216,28.07.2030,1010216,ОЭМ
1010217,Испытание на нагрев,22-05-20,28.07.2020,10,2030-06-28,1010217,28.07.2030,1010217,ОЭМ
1010218,Испытания на безопасность,25-12-17,29.01.2017,10,2026-12-29,1010218,29.01.2027,1010218,ОЭМ
1010219,Испытание на нагрев,26-05-20,28.07.2020,10,2030-06-28,1010219,28.07.2030,1010219,ОЭМ
1010220,Испытание на соответствие степени защиты оболочки,28-05-20,28.07.2020,10,2030-06-28,1010220,28.07.2030,1010220,ОЭМ
1010221,Испытание на соответствие степени защиты оболочки,06-07-19,12.07.2019,10,2029-06-12,1010221,12.07.2029,1010221,ОЭМ
1010222,Электромеханические испытания,23-05-19,07.06.2019,10,2029-05-07,1010222,07.06.2029,1010222,ОЭМ
1010223,Испытание на нагрев,03-09-13,06.09.2013,10,2023-08-06,1010223,06.09.2023,1010223,ОЭМ
1010224,Испытания электрической прочности изоляции,05-09-13,06.09.2013,10,2023-08-06,1010224,06.09.2023,1010224,ОЭМ
1010225,Испытания на безопасность,10-05-12,10.05.2012,10,2022-04-10,1010225,10.05.2022,1010225,ОЭМ
1010226,Испытание на локализационную способность,012-004-2015,19.01.2015,10,2024-12-19,1010226,19.01.2025,1010226,ОЭМ
1010227,Испытание на нагрев,11-04-19,25.04.2019,10,2029-03-25,1010227,25.04.2029,1010227,ОЭМ
1010228,Испытание на нагрев,25-06-19,27.06.2019,10,2029-05-27,1010228,27.06.2029,1010228,ОЭМ
1010229,Испытание на коммутационную способность,012-119-2016,14.10.2016,10,2026-09-14,1010229,14.10.2026,1010229,ОЭМ
1010230,Испытание на коммутационную способность,012-120-2016,17.10.2016,10,2026-09-17,1010230,17.10.2026,1010230,ОЭМ
1010231,Испытание на локализационную способность,012-121-2016,17.10.2016,10,2026-09-17,1010231,17.10.2026,1010231,ОЭМ
1010232,Испытания на электродинамическую и термическую стойкость током КЗ,017-136-2016,25.10.2016,10,2026-09-25,1010232,25.10.2026,1010232,ОЭМ
1010233,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-136-2016,25.10.2016,10,2026-09-25,1010233,25.10.2026,1010233,ОЭМ
1010234,Испытания на электродинамическую и термическую стойкость током КЗ,017-137-2016,25.10.2016,10,2026-09-25,1010234,25.10.2026,1010234,ОЭМ
1010235,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-137-2016,25.10.2016,10,2026-09-25,1010235,25.10.2026,1010235,ОЭМ
1010236,Проверка внешнего вида и проверка на соответствие чертежам,03-01-15,04.08.2015,10,2025-07-04,1010236,04.08.2025,1010236,ОЭМ
1010237,Контрольная сборка и испытание на взаимозаменяемость однотипных выкатных элементов,04-01-15,04.08.2015,10,2025-07-04,1010237,04.08.2025,1010237,ОЭМ
1010238,Электромеханические испытания,06-01-15,04.08.2015,10,2025-07-04,1010238,04.08.2025,1010238,ОЭМ
1010239,Испытания электрической прочности изоляции,10-01-15,15.01.2015,10,2024-12-15,1010239,15.01.2025,1010239,ОЭМ
1010240,Испытание на надежность,14-01-13,31.01.2013,10,2022-12-31,1010240,31.01.2023,1010240,ОЭМ
1010241,Испытания на безопасность,22-02-18,28.02.2018,10,2028-01-28,1010241,28.02.2028,1010241,ОЭМ
1010242,Испытание на нагрев,23-04-15,27.04.2015,10,2025-03-27,1010242,27.04.2025,1010242,ОЭМ
1010243,Испытания на климатические и механические воздействия,25-07-15,04.08.2015,10,2025-07-04,1010243,04.08.2025,1010243,ОЭМ
1010244,Испытания на прочность при транспортировании и испытания упаковки,29-08-16,30.08.2016,10,2026-07-30,1010244,30.08.2026,1010244,ОЭМ
1010245,Испытание на нагрев,13-05-20-01,28.07.2020,10,2030-06-28,1010245,28.07.2030,1010245,ОЭМ
1010246,Испытание на нагрев,18-05-20-01,28.07.2020,10,2030-06-28,1010246,28.07.2030,1010246,ОЭМ
1010247,Испытания на сейсмостойкость,39/19,26.04.2019,10,2029-03-26,1010247,26.04.2029,1010247,ОЭМ
1010248,Испытания на стойкость к воздействию внешних механических факторов,39/19,26.04.2019,10,2029-03-26,1010248,26.04.2029,1010248,ОЭМ
1010249,Электромеханические испытания,04-04-12,06.04.2012,10,2022-03-06,1010249,06.04.2022,1010249,ОЭМ
1010250,Испытания электрической прочности изоляции,05-04-12,06.04.2012,10,2022-03-06,1010250,06.04.2022,1010250,ОЭМ
1010251,Испытания электрической прочности изоляции,06-04-12,06.04.2012,10,2022-03-06,1010251,06.04.2022,1010251,ОЭМ
1010252,Испытания на безопасность,15-05-15,28.05.2015,10,2025-04-28,1010252,28.05.2025,1010252,ОЭМ
1010253,Испытание на нагрев,15-10-15,19.10.2015,10,2025-09-19,1010253,19.10.2025,1010253,ОЭМ
1010254,Испытания электрической прочности изоляции,25-07-14,27.07.2014,10,2024-06-27,1010254,27.07.2024,1010254,ОЭМ
1010255,Испытание на нагрев,27-03-12,06.04.2012,10,2022-03-06,1010255,06.04.2022,1010255,ОЭМ
1010256,Проверка внешнего вида и проверка на соответствие чертежам,28-03-12,06.04.2012,10,2022-03-06,1010256,06.04.2022,1010256,ОЭМ
1010257,Испытание на коммутационную способность,012-020-2015,16.02.2015,10,2025-01-16,1010257,16.02.2025,1010257,ОЭМ
1010258,Испытание на локализационную способность,012-021-2015,16.02.2015,10,2025-01-16,1010258,16.02.2025,1010258,ОЭМ
1010259,Испытания на электродинамическую и термическую стойкость током КЗ,017-030-2015,27.02.2015,10,2025-01-27,1010259,27.02.2025,1010259,ОЭМ
1010260,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-030-2015,27.02.2015,10,2025-01-27,1010260,27.02.2025,1010260,ОЭМ
1010261,Испытания на стойкость к воздействию внешних механических факторов,61/18,19.11.2018,10,2028-10-19,1010261,19.11.2028,1010261,ОЭМ
1010262,Испытания на сейсмостойкость,16-03-18,05.04.2018,10,2028-03-05,1010262,05.04.2028,1010262,ОЭМ
1010263,Испытания на климатические и механические воздействия,Обоснование,01.01.2012,10,2021-12-01,1010263,01.01.2022,1010263,ОЭМ
1010264,Испытания на прочность при транспортировании и испытания упаковки,Обоснование,01.01.2012,10,2021-12-01,1010264,01.01.2022,1010264,ОЭМ
1010265,Испытания на отключение тока холостого хода трансформаторов собственных нужд,374К-92,16.04.1992,10,2002-03-16,1010265,16.04.2002,1010265,ОЭМ
1010266,ДРУГОЕ,05-04-19,19.04.2019,10,2029-03-19,1010266,19.04.2029,1010266,ОЭМ
1010267,Испытания на сейсмостойкость,08-06-16,22.06.2016,10,2026-05-22,1010267,22.06.2026,1010267,ОЭМ
1010268,Проверка внешнего вида и проверка на соответствие чертежам,08-10-14-01,20.10.2014,10,2024-09-20,1010268,20.10.2024,1010268,ОЭМ
1010269,Испытания на климатические и механические воздействия,10-09-15,16.09.2015,10,2025-08-16,1010269,16.09.2025,1010269,ОЭМ
1010270,Испытание на коммутационную способность,012-039-2016,03.06.2016,10,2026-05-03,1010270,03.06.2026,1010270,ОЭМ
1010271,Испытание на коммутационную способность,012-203-2015,11.12.2015,10,2025-11-11,1010271,11.12.2025,1010271,ОЭМ
1010272,Испытания на безопасность,16-12-14,27.12.2014,10,2024-11-27,1010272,27.12.2024,1010272,ОЭМ
1010273,Испытания на электродинамическую и термическую стойкость током КЗ,017-036-2016,19.05.2016,10,2026-04-19,1010273,19.05.2026,1010273,ОЭМ
1010274,Испытания на электродинамическую и термическую стойкость током КЗ,017-157-2015,16.10.2015,10,2025-09-16,1010274,16.10.2025,1010274,ОЭМ
1010275,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-157-2015,16.10.2015,10,2025-09-16,1010275,16.10.2025,1010275,ОЭМ
1010276,Испытание на нагрев,18-09-14-01,27.10.2014,10,2024-09-27,1010276,27.10.2024,1010276,ОЭМ
1010277,Испытания на прочность при транспортировании и испытания упаковки,18-11-14,24.10.2014,10,2024-09-24,1010277,24.10.2024,1010277,ОЭМ
1010278,Электромеханические испытания,22-10-14,03.11.2014,10,2024-10-03,1010278,03.11.2024,1010278,ОЭМ
1010279,Испытания электрической прочности изоляции,24-07-13,24.07.2013,10,2023-06-24,1010279,24.07.2023,1010279,ОЭМ
1010280,Контрольная сборка и испытание на взаимозаменяемость однотипных выкатных элементов,24-11-14-01,24.11.2014,10,2024-10-24,1010280,24.11.2024,1010280,ОЭМ
1010281,Испытание на надежность,26-11-14,02.12.2014,10,2024-11-02,1010281,02.12.2024,1010281,ОЭМ
1010282,Испытания электрической прочности изоляции,28-10-14,11.11.2014,10,2024-10-11,1010282,11.11.2024,1010282,ОЭМ
1010283,Испытание на коммутационную способность,012-028-2021,19.02.2021,10,2031-01-19,1010283,19.02.2031,1010283,ОЭМ
1010284,Испытания на электродинамическую и термическую стойкость током КЗ,017-004-2021,21.01.2021,10,2030-12-21,1010284,21.01.2031,1010284,ОЭМ
1010285,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-004-2021,21.01.2021,10,2030-12-21,1010285,21.01.2031,1010285,ОЭМ
1010286,Испытания на электродинамическую и термическую стойкость током КЗ,017-051-2021,31.03.2021,10,2031-02-28,1010286,31.03.2031,1010286,ОЭМ
1010287,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-051-2021,31.03.2021,10,2031-02-28,1010287,31.03.2031,1010287,ОЭМ
1010288,Испытания на электродинамическую и термическую стойкость током КЗ,017-199-2020,12.11.2020,10,2030-10-12,1010288,12.11.2030,1010288,ОЭМ
1010289,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-199-2020,12.11.2020,10,2030-10-12,1010289,12.11.2030,1010289,ОЭМ
1010290,Испытания на электродинамическую и термическую стойкость током КЗ,017-200-2021,12.11.2020,10,2030-10-12,1010290,12.11.2030,1010290,ОЭМ
1010291,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-200-2021,12.11.2020,10,2030-10-12,1010291,12.11.2030,1010291,ОЭМ
1010292,Испытание на коммутационную способность,012-109-2017,10.08.2017,10,2027-07-10,1010292,10.08.2027,1010292,ОЭМ
1010293,Испытания на электродинамическую и термическую стойкость током КЗ,017-090-2017,17.07.2017,10,2027-06-17,1010293,17.07.2027,1010293,ОЭМ
1010294,Испытания на климатические и механические воздействия,30-12-12,31.01.2013,10,2022-12-31,1010294,31.01.2023,1010294,ОЭМ
1010295,Испытание на локализационную способность,012-083-2020,07.07.2020,10,2030-06-07,1010295,07.07.2030,1010295,ОЭМ
1010296,Испытания на сейсмостойкость,34/21,15.04.2021,10,2031-03-15,1010296,15.04.2031,1010296,ОЭМ
1010297,Испытания на стойкость к воздействию внешних механических факторов,34/21,15.04.2021,10,2031-03-15,1010297,15.04.2031,1010297,ОЭМ
1010298,Испытания на электродинамическую и термическую стойкость током КЗ,017-005-2021,21.01.2021,10,2030-12-21,1010298,21.01.2031,1010298,ОЭМ
1010299,Испытания на включающую способность ЗР,012-125-2020,14.08.2020,10,2030-07-14,1010299,14.08.2030,1010299,ОЭМ
1010300,Испытания на электродинамическую и термическую стойкость током КЗ,017-118-2020,10.08.2020,10,2030-07-10,1010300,10.08.2030,1010300,ОЭМ
1010301,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-118-2020,10.08.2020,10,2030-07-10,1010301,10.08.2030,1010301,ОЭМ
1010302,Испытание на коммутационную способность,012-090-2020,09.07.2020,10,2030-06-09,1010302,09.07.2030,1010302,ОЭМ
1010303,Испытание на коммутационную способность,012-088-2020,07.07.2020,10,2030-06-07,1010303,07.07.2030,1010303,ОЭМ
1010304,Испытание на локализационную способность,012-068-2020,28.05.2020,10,2030-04-28,1010304,28.05.2030,1010304,ОЭМ
1010305,Испытание на локализационную способность,012-070-2020,08.06.2020,10,2030-05-08,1010305,08.06.2030,1010305,ОЭМ
1010306,Испытание на локализационную способность,012-102-2020,04.08.2020,10,2030-07-04,1010306,04.08.2030,1010306,ОЭМ
1010307,Испытание на локализационную способность,012-091-2020,09.07.2020,10,2030-06-09,1010307,09.07.2030,1010307,ОЭМ
1010308,Испытание на локализационную способность,012-104-2020,04.08.2020,10,2030-07-04,1010308,04.08.2030,1010308,ОЭМ
1010309,Испытания на электродинамическую и термическую стойкость током КЗ,017-122-2020,14.08.2020,10,2030-07-14,1010309,14.08.2030,1010309,ОЭМ
1010310,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-122-2020,14.08.2020,10,2030-07-14,1010310,14.08.2030,1010310,ОЭМ
1010311,Испытание на локализационную способность,012-103-2020,04.08.2020,10,2030-07-04,1010311,04.08.2030,1010311,ОЭМ
